valDate,ticker,description,coupon,maturityDate,callDate,couponFrequency,currency,par,marketValue,marketWeight,indexQuality,accruedInterest
Jan-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,51.75706,0.00889,BBB,0.02778
Jan-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,31.58686,0.00543,AA,2.54167
Jan-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,82.33995,0.01415,AA,1.94222
Jan-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,195.6981,0.03363,AAA,1.71528
Jan-81,BPE,Boneppe Tires,11.625,2010/5/15,1981/5/15,2,USD,159,143.83521,0.02471,A,1.48542
Jan-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,31.68102,0.00544,AA,0
Jan-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,15.63235,0.00269,BBB,1.625
Jan-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,17.72347,0.00305,BBB,1.5625
Jan-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,16.46836,0.00283,BBB,1.625
Jan-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,14.00961,0.00241,BBB,1.16667
Feb-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,52.79346,0.00909,BBB,0.86111
Feb-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,31.41273,0.00541,AA,3.17708
Feb-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,81.08142,0.01396,AA,2.70889
Feb-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,193.9124,0.03338,AAA,2.39236
Feb-81,BPE,Boneppe Tires,11.625,2010/5/15,1981/5/15,2,USD,159,143.26559,0.02466,A,2.45417
Feb-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,31.55633,0.00543,AA,0.79167
Feb-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,15.51222,0.00267,BBB,2.03125
Feb-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,17.60462,0.00303,BBB,2.08333
Feb-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,16.89466,0.00291,BBB,2.16667
Feb-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,14.12506,0.00243,BBB,1.75
Mar-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,51.39447,0.00906,BBB,1.69444
Mar-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,29.88616,0.00527,AA,0
Mar-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,79.36623,0.01399,AA,3.47555
Mar-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,188.08591,0.03316,AAA,3.06944
Mar-81,BPE,Boneppe Tires,11.625,2010/5/15,1981/5/15,2,USD,159,137.9117,0.02431,A,3.42292
Mar-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,31.75474,0.0056,AA,1.58333
Mar-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,14.31433,0.00252,BBB,0
Mar-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,17.08085,0.00301,BBB,2.60417
Mar-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,16.39624,0.00289,BBB,2.70833
Mar-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,13.72503,0.00242,BBB,2.33333
Apr-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,52.49026,0.00895,BBB,2.52778
Apr-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,30.40005,0.00518,AA,0.63542
Apr-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,81.05146,0.01382,AA,4.24222
Apr-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,190.11369,0.03241,AAA,3.74653
Apr-81,BPE,Boneppe Tires,11.625,2010/5/15,1981/5/15,2,USD,159,141.38071,0.02411,A,4.39167
Apr-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,32.2127,0.00549,AA,2.375
Apr-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,14.81259,0.00253,BBB,0.40625
Apr-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,16.48713,0.00281,BBB,0
Apr-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,15.51537,0.00265,BBB,0
Apr-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,13.80237,0.00235,BBB,2.91667
May-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,52.13586,0.00927,BBB,3.36111
May-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,30.68698,0.00545,AA,1.27083
May-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,70.55721,0.01254,AA,0.40889
May-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,164.1221,0.02917,AAA,0.36111
May-81,BPE,Boneppe Tires,11.625,2010/5/15,1981/5/15,2,USD,159,131.44119,0.02336,A,5.36042
May-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,31.78753,0.00565,AA,3.16667
May-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,13.96452,0.00248,BBB,0.8125
May-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,15.28752,0.00272,BBB,0.52083
May-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,14.90453,0.00265,BBB,0.54167
May-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,12.12815,0.00216,BBB,0
Jun-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,52.89447,0.00919,BBB,4.19444
Jun-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,31.20798,0.00542,AA,1.90625
Jun-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,75.16742,0.01307,AA,1.17555
Jun-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,173.2249,0.03011,AAA,1.03819
Jun-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,129.7021,0.02254,A,0.51667
Jun-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,32.61562,0.00567,AA,3.95833
Jun-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,15.03819,0.00261,BBB,1.21875
Jun-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,16.69591,0.0029,BBB,1.04167
Jun-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,15.561,0.0027,BBB,1.08333
Jun-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,12.78178,0.00222,BBB,0.58333
Jul-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,50.44846,0.00881,BBB,0.02778
Jul-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,31.49991,0.0055,AA,2.54167
Jul-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,74.43557,0.013,AA,1.94222
Jul-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,172.73621,0.03016,AAA,1.71528
Jul-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,129.8909,0.02268,A,1.48542
Jul-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,31.26602,0.00546,AA,0
Jul-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,14.7196,0.00257,BBB,1.625
Jul-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,16.48927,0.00288,BBB,1.5625
Jul-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,15.22932,0.00266,BBB,1.625
Jul-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,12.73436,0.00222,BBB,1.16667
Aug-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,50.31846,0.00894,BBB,0.86111
Aug-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,31.79478,0.00565,AA,3.17708
Aug-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,72.317,0.01285,AA,2.70889
Aug-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,170.0071,0.03021,AAA,2.39236
Aug-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,125.1762,0.02225,A,2.45417
Aug-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,30.17741,0.00536,AA,0.79167
Aug-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1981/9/1,2,USD,33.3,14.17656,0.00252,BBB,2.03125
Aug-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,15.82262,0.00281,BBB,2.08333
Aug-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,15.1708,0.0027,BBB,2.16667
Aug-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,12.69425,0.00226,BBB,1.75
Sep-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,49.15107,0.00897,BBB,1.69444
Sep-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,29.92796,0.00546,AA,0
Sep-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,70.63109,0.0129,AA,3.47555
Sep-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,162.7886,0.02973,AAA,3.06944
Sep-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,122.8766,0.02244,A,3.42292
Sep-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,30.5905,0.00559,AA,1.58333
Sep-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1982/9/1,2,USD,33.3,13.06026,0.00238,BBB,0
Sep-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1981/10/1,2,USD,33,15.47012,0.00282,BBB,2.60417
Sep-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1981/10/1,2,USD,31.4,14.6548,0.00268,BBB,2.70833
Sep-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,12.28039,0.00224,BBB,2.33333
Oct-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,49.13926,0.00899,BBB,2.52778
Oct-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,28.59555,0.00523,AA,0.63542
Oct-81,VIG,Vigko,9.2,1999/10/15,1981/10/15,2,USD,104.5,68.28157,0.0125,AA,4.24222
Oct-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,158.40871,0.029,AAA,3.74653
Oct-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,119.4403,0.02186,A,4.39167
Oct-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,30.66973,0.00561,AA,2.375
